"ID","Country","Latitude","Longitude","Page","Battle","Year","Participants","War","Winner","Loser","Participant 1","Participant 2","Lehmann Zhukov Scale","Theatre","Polygon","Massacre","Alternative Sources Consulted","Infered Scale","Minor"
"Dunlawton1836","UNITED STATES",29.141179,-81.007712,"319","DUNLAWTON","1836","['Florida', 'Halifax', 'Indians']","['INDIAN WAR']","2ND SEMINOLE INDIAN WAR","SEMINOLE INDIANS","UNITED STATES",NA,1,"LAND",NA,"NO",NA,"1",NA
"Dunnichen Moss685","UNITED KINGDOM",56.629306,-2.806582,"319","DUNNICHEN MOSS","685","['Anglo', 'Northumbria', 'the Kingdom of Mercia', 'Scotland']","ANGLO-SAXON TERRITORIAL WARS","PICTS","NORTHUMBRIA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dunnottar900","UNITED KINGDOM",56.9457767,-2.1971901,"319","DUNNOTTAR","900","['Britain', 'Scotland', 'Forteviot', 'Imhair', 'Danish']","VIKING WARS IN BRITAIN","VIKINGS","SCOTLAND",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dunsinane1054","UNITED KINGDOM",56.4670247,-3.2646239,"319","DUNSINANE","1054","[]","SCOTTISH WAR OF SUCCESION","MALCOLM, EARL SIWARD","MACBETH",NA,NA,2,"LAND",NA,"NO",NA,NA,NA
"Dunstable1461","UNITED KINGDOM",51.885644,-0.52039,"319","DUNSTABLE","1461","['Lancastrian', 'Warwick']","WARS OF THE ROSES","LANCASTRIANS","YORKISTS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Duppel1849","DENMARK",56.26392,9.501785,"319","DUPPEL","1849","['Denmark', 'Danish', 'Eckenforde', 'German', 'Danish', 'Danish']","1ST SCHLESWIG-HOLSTEIN WAR","SCHLESWIG, HOLSTEIN, PRUSSIA, GERMAN CONFEDERATION, AUSTRIA","DENMARK",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Duppel1864","DENMARK",54.914569,9.7116939,"319","DUPPEL","1864","['Denmark', 'Prussian', 'German', 'Augustenburg', 'Danish']","2ND SCHLESWIG-HOLSTEIN WAR","PRUSSIA","DENMARK",NA,NA,3,"LAND",NA,"NO",NA,NA,NA
"Dupplin1332","UNITED KINGDOM",56.3580221,-3.5288576,"319","DUPPLIN","1332","['Anglo']","ANGLO-SCOTTISH WAR OF SUCCESSION","EDWARD BALLIOL, SCOTTISH ADVENTURERS, ENGLISH ADVENTURERS","DONALD EARL OF MAR",NA,NA,1,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P268; HTTP://PORTAL.HISTORICENVIRONMENT.SCOT/DESIGNATION/BTL8",NA,NA
"Durango1808","SPAIN",43.1581081,-2.6735412,"320","DURANGO","1808","['Napoleonic', 'Bilbao', 'French', 'Spanish', 'Bilbao', 'Valmaseda']","NAPOLEONIC WARS (PENINSULA CAMPAIGN)","FRANCE","SPAIN",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Durango1913","MEXICO",23.094307,-104.7410127,"CLODFELTER, P374","DURANGO","1913",NA,"MEXICAN REVOLUTION","CONSTITUTIONALIST REBELS","HUERTA REGIME",NA,NA,1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P374; FOR LOCATION - HTTPS://WWW.LOC.GOV/RESOURCE/G4411SM.GCT00282/?SP=7&R=0.355,0.26,0.15,0.076,0",NA,NA
"Durbe1260","LATVIA",56.5868019,21.3654241,"320","DURBE","1260","['Teutonic', 'Livonia', 'Lithuania', 'Samogitians', 'Latvia', 'Durbe', 'German']","EARLY WARS OF THE TEUTONIC KNIGHTS","SAMOGITIANS","TEUTONIC KNIGHTS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Durdah1781","INDIA",20.2233407,86.2894882,"320","DURDAH","1781","['British', 'British', 'Poona', 'Mahadpur', 'Mahadji', 'Durdah']","1ST BRITISH-MARATHA WAR","UNITED KINGDOM","MARATHAS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Durham1069","UNITED KINGDOM",54.77525,-1.584852,"320","DURHAM","1069","['Britain', 'Durham', 'Northumbrian', 'Hexham']","NORMAN CONQUEST OF BRITAIN","NORTHUMBRIA","NORMANS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Durham1080","UNITED KINGDOM",54.77525,-1.584852,"320","DURHAM","1080","['Britain', 'Northumbrians', 'Durham', 'Odos']","NORMAN CONQUEST OF BRITAIN","NORMANS","NORTHUMBRIAN REBELS",NA,NA,NA,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE",NA,NA,NA
"Durham1312","UNITED KINGDOM",54.77525,-1.584852,"320","DURHAM","1312","['Scotland', 'England', 'Durham']","RISE OF ROBERT THE BRUCE","SCOTLAND","ENGLAND",NA,NA,NA,"LAND",NA,"YES",NA,NA,NA
"Durrenstein1805","AUSTRIA",48.4835219,15.0545048,"320","DURRENSTEIN","1805","['Napoleonic', 'Vienna', 'French', 'Russian', 'Durrenstein']","NAPOLEONIC WARS (3RD COALITION)","RUSSIA","FRANCE",NA,NA,3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P514; HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P85",NA,NA
"Dussindale1549","UNITED KINGDOM",52.6326268,1.362482,"321","DUSSINDALE","1549","['Norfolk', 'Norwich', 'Warwick', 'Scotland']","KETT'S REBELLION","ENGLAND","NORFOLK REBELS",NA,NA,2,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE","CLODFELTER, WARFARE AND ARMED CONFLICT, P21",NA,NA
"Dvinsk1915","LATVIA",55.874736,26.536179,"321","DVINSK","1915","['Dvinsk', 'Lithuania', 'Germans']","WORLD WAR I","RUSSIA","GERMANY",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dwin624","ARMENIA",40.0002446,44.6804318,"321","DWIN","624","['Persians', 'Ophlimos', 'Ceasarea', 'Persian']","BYZANTINE-PERSIAN WARS","BYZANTIUM","SASSANID PERSIA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dyle Line1940","BELGIUM",50.9123238,4.292201,"321","DYLE LINE","1940","['German', 'Belgium', 'Belgium', 'Antwerp', 'Namur', 'British', 'French', 'the   Germans']","WORLD WAR II","GERMANY","FRANCE, UNITED KINGDOM",NA,NA,5,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P437","1",NA
"Dyle891","BELGIUM",50.9127568,4.2922004,"321","DYLE","891","['Germany', 'German', 'German']","VIKING-GERMAN WARS","GERMANY","DANISH VIKINGS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dylerschans1664","GERMANY",53.0712003,7.2535406,"321","DYLERSCHANS","1664","['Dutch', 'Nassau', 'Friesland', 'Dylerschans', 'Prince-']","2ND DUTCH WAR","NETHERLANDS","HABSBURG EMPIRE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dynekilen1716","SWEDEN",59.0009894,11.1903642,"CLODFELTER, P89","DYNEKILEN","1716",NA,"2ND GREAT NORTHERN WAR","DENMARK","SWEDEN",NA,NA,1,"SEA",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P89. 7 DANISH SHIPS OF THE LINE VS 15 SWEDISH GALLEYS","1",1
"Dyrrhachium-49","ALBANIA",41.3245904,19.4564686,"321","DYRRHACHIUM","-49","['Adriatic', 'Pompeys', 'Durres', 'Albania']","WARS OF THE FIRST TRIUMVIRATE","POMPEY","CAESAR",NA,NA,3,"LAND",NA,"NO","WARFARE IN THE CLASSICAL WORLD, JOHN WARRY, 1980, P172",NA,NA
"Dyrrhachium1081","ALBANIA",41.3245904,19.4564686,"322","DYRRHACHIUM","1081","['the Byzantine Empire', 'Italy', 'Adriatic', 'Albania', 'Venetian']","BYZANTINE-NORMAN WARS","NORMANS","BYZANTIUM",NA,NA,3,"LAND",NA,"NO","HUTCHINSON'S DICTIONARY OF ANCIENT AND MEDIEVAL WARFARE, 'DYRRHACHIUM, BATTLE OF'; HARBOTTLE'S DICTIONARY OF BATTLES, GEORGE BRUCE, 1979, P85",NA,NA
"Dyrrhachium1083","ALBANIA",41.3245904,19.4564686,"322","DYRRHACHIUM","1083","['Durres', 'Albania', 'Dyrrhachium', 'Normans', 'Byzantine']","BYZANTINE-NORMAN WARS","NORMANS","BYZANTIUM",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Dyrrhachium1107","ALBANIA",41.3245904,19.4564686,"322","DYRRHACHIUM","1107","['Durres', 'Albania', 'Italy', 'Byzantine']","2ND BYZANTINE-NORMAN WAR","BYZANTIUM","NORMANS",NA,NA,NA,"LAND AND SEA",NA,"NO",NA,NA,NA
"Dysert ODea1318","IRELAND",52.9122701,-9.0665451,"322","DYSERT ODEA","1318","['English', 'Ireland', 'Anglo', 'Dublin', 'Ennis', 'Strongbows', 'Normans']","ANGLO-NORMAN INVASION OF IRELAND","IRELAND","ENGLAND",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Eagle Hills1885","CANADA",51.8814839,-114.4344521,"323","EAGLE HILLS","1885","['2nd', 'Saskatchewan']","2ND RIEL REBELLION","CREE INDIANS","UNITED KINGDOM",NA,NA,1,"LAND",NA,"NO","1","1",NA
"East China Sea1945","CHINA",28.8473619,120.1746318,"323","EAST CHINA SEA","1945","['Japans', 'American', 'US']","WORLD WAR II","UNITED STATES","JAPAN",NA,NA,1,"SEA AND AIR",NA,"NO",NA,"1",NA
"East Indies1941-1942","INDONESIA",-6.229728,106.6894305,"323","EAST INDIES","1941-1942","['Japanese', 'Philippines', 'Malaya', 'Dutch', 'Australian', 'British', 'Dutch']","WORLD WAR II","JAPAN","NETHERLANDS, UNITED KINGDOM, AUSTRALIA, UNITED STATES",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P504",NA,NA
"Eastern Solomons1942","SOLOMON ISLANDS",-9.1317549,159.7770446,"323","EASTERN SOLOMONS","1942","['American', 'US']","WORLD WAR II","UNITED STATES","JAPAN",NA,NA,NA,"SEA",NA,"NO",NA,NA,NA
"Eastertide Offensive1972","VIETNAM",16.7356687,106.6722377,"323","EASTERTIDE OFFENSIVE","1972","['America', 'Vietnam', 'North Vietnamese', 'North', 'Vietnamese', 'South Vietnamese']","VIETNAM WAR","SOUTH VIETNAM","NORTH VIETNAM",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P692-693",NA,NA
"Ebelsberg1809","AUSTRIA",48.2494492,14.3652037,"323","EBELSBERG","1809","['Napoleonic', 'Bavaria']","NAPOLEONIC WARS (5TH COALITION)","FRANCE","AUSTRIA",NA,NA,3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P545",NA,NA
"Eben Emael1940","BELGIUM",50.78495,5.66132,"324","EBEN EMAEL","1940","['Airborne', 'Belgium', 'Belgian']","WORLD WAR II","GERMANY","BELGIUM",NA,NA,1,"LAND",NA,"NO","HISTORY OF THE SECOND WORLD WAR, BASIL LIDDEL HART, P73-74",NA,NA
"Eben-ezer-1050","ISRAEL",32.3394749,34.759518,"324","EBEN-EZER","-1050","['Palestine', 'Israel', 'Aphek', 'Israelites']","PHILISTINE-ISRAELITE WARS","PHILISTINES","ISRAEL",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ebro-217","SPAIN",40.705369,0.7940553,"324","EBRO","-217","['Carthaginian', 'Roman', 'Spain', 'Carthaginian', 'Roman', 'Carthaginians']","2ND PUNIC WAR","ROME","CARTHAGE",NA,NA,NA,"LAND AND SEA",NA,"NO",NA,"1",NA
"Ebro1084","SPAIN",41.833048,-1.2409897,"324","EBRO","1084","['Spain', 'Aragon', 'Muslim']","EARLY CHRISTIAN RECONQUEST OF SPAIN","SARAGOSSA","LERIDA, ARAGON",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ebro1938","SPAIN",41.0385245,-2.1145497,"324","EBRO","1938","['Spanish', 'Republican', 'Ebro', 'Madrid', 'Republicans', 'Barcelona']","SPANISH CIVIL WAR","SPANISH NATIONALISTS","SPANISH REPUBLICANS",NA,NA,4,"LAND","EBRO1938","NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P799; BATTLES MAP BY MAP, P227",NA,NA
"Ebsdorf880","GERMANY",53.0423745,10.339565,"324","EBSDORF","880","['Germany', 'England', 'Germans', 'Hildesheim', 'Ninden', 'Norsemen']","VIKING RAIDS ON GERMANY","VIKINGS","SAXONY",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ecbatana-129","IRAN",34.7988575,48.5150225,"324","ECBATANA","-129","['Syria', 'Mesopotamia', 'Parthian', 'Ecbatana']","LATER SYRIAN-PARTHIAN WAR","PARTHIA","SELEUCID EMPIRE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Echalar1813","SPAIN",43.233817,-1.6378219,"324","ECHALAR","1813","['Echalar', 'France']","NAPOLEONIC WARS (PENINSULA CAMPAIGN)","UNITED KINGDOM","FRANCE",NA,NA,3,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P543",NA,NA
"Echmiadzin1804","ARMENIA",40.1632626,44.2935926,"325","ECHMIADZIN","1804","['Russo-Persian', 'Russia', 'Georgia', 'Persian', 'Russian', 'Echmiadzin', 'Russia', 'Persian', 'the   Russian']","RUSSO-PERSIAN WARS","RUSSIA","PERSIA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Echmiadzin1827","ARMENIA",40.1632626,44.2935926,"325","ECHMIADZIN","1827","['Russo-Persian', 'Azerbaijan', 'Abbasabad', 'Persian', 'Armenia', 'Russian', 'Echmiadzin']","RUSSO-PERSIAN WARS","RUSSIA","PERSIA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ecija711","SPAIN",37.5414656,-5.0826742,"325","ECIJA","711","['Muslim', 'Spain', 'Visigothic', 'Spanish', 'Cadiz', 'Muslims', 'Spain', 'Ecija', 'Muslim']","MUSLIM CONQUEST OF SPAIN","MUSLIMS","VISIGOTHIC SPAIN",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Eckau1812","LATVIA",56.5903078,24.1711397,"325","ECKAU","1812","['Russian', 'Russia', 'Prussians', 'Baltic', 'Riga', 'Russian', 'English', 'Eckau']","NAPOLEONIC WARS (RUSSIAN CAMPAIGN)","PRUSSIA","RUSSIA, UNITED KINGDOM",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Eckenforde1849","GERMANY",54.4689457,9.8384466,"325","ECKENFORDE","1849","['Denmark', 'Prussian', 'Christian']","1ST SCHLESWIG-HOLSTEIN WAR","ETHNIC GERMAN REBELS","DENMARK",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Eckmuhl1809","GERMANY",48.8440833,12.1821501,"325","ECKMUHL","1809","['Napoleonic', 'Austria', 'Bavaria', 'Austrian', 'Austrians']","NAPOLEONIC WARS (5TH COALITION)","FRANCE","AUSTRIA",NA,NA,3,"LAND",NA,"NO","THE FIELD AND THE FORGE, LANDERS, P392",NA,NA
"Ecnomus-256","ITALY",37.0552983,13.9380723,"325","ECNOMUS","-256","['Mount', 'Sicily', 'Carthaginian']","1ST PUNIC WAR","ROME","CARTHAGE",NA,NA,4,"SEA",NA,"NO","A HISTORY OF THE ROMAN WORLD, HH SCULLARD, P154; HUTCHINSON'S DICTIONARY OF ANCIENT AND MEDIEVAL WARFARE, ""ECNOMUS, BATTLE OF""",NA,NA
"Edessa1031","TURKEY",37.3418942,37.9156329,"326","EDESSA","1031","['Byzantine-Muslim', 'Christian', 'Byzantine', 'Turkey', 'Arab', 'Christian']","LATER BYZANTINE-MUSLIM WARS","BYZANTIUM","MUSLIM CALIPHATE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edessa1098","TURKEY",37.3418942,37.9156329,"326","EDESSA","1098","['Antioch', 'Syria', 'Tarsus', 'Baldwin', 'Christians', 'Latin']","1ST CRUSADE","BALDWIN OF BOUILON","MUSLIM CALIPHATE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edessa1144","TURKEY",37.3418942,37.9156329,"326","EDESSA","1144","['Crusader-Muslim', 'Turkish', 'Edessa', 'Edessa', 'Urfa', 'Turkey']","CRUSADER-MUSLIM WARS","SELJUKS","COUNTY OF EDESSA",NA,NA,NA,"LAND",NA,"BATTLE FOLLOWED BY MASSACRE",NA,NA,NA
"Edessa1146","TURKEY",37.3418942,37.9156329,"326","EDESSA","1146","['Crusader-Muslim', 'Turkish', 'Mosul', 'Zengis', 'Joscelin', 'Muslims']","CRUSADER-MUSLIM WARS","SELJUKS","COUNTY OF EDESSA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edessa260","TURKEY",37.3418942,37.9156329,"325","EDESSA","260","['Roman-Persian', 'Armenia', 'Edessa', 'Valerian', 'Roman']","ROMAN-PERSIAN WARS","PERSIA","ROME",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edessa503","TURKEY",37.3418942,37.9156329,"325","EDESSA","503","['Byzantine', 'Amida', 'Arab', 'Apocryphal', 'Christ']","BYZANTINE-PERSIAN WARS","DRAW",NA,"PERSIA","BYZANTIUM",NA,"LAND",NA,"NO",NA,NA,NA
"Edessa544","TURKEY",37.3418942,37.9156329,"326","EDESSA","544","['Byzantine', 'Persia', 'Armenia']","BYZANTINE-PERSIAN WARS","ROME","PERSIA",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edgecote1469","UNITED KINGDOM",52.1257312,-1.2434134,"326","EDGECOTE","1469","['Pembroke', 'Devon', 'Pembroke', 'Devon']","WAR OF THE ROSES","YORKISTS","EARL OF PEMBROKE, EARL OF DEVON",NA,NA,1,"LAND",NA,"NO","HTTPS://WWW.BATTLEFIELDSTRUST.COM/RESOURCE-CENTRE/WARSOFTHEROSES/BATTLEVIEW.ASP?BATTLEFIELDID=13",NA,NA
"Edgehill, England1642","UNITED KINGDOM",52.1286416,-1.4672611,"326","EDGEHILL, ENGLAND","1642","['England', 'British', 'London', 'Kineton', 'Warwickshire', 'Royalist']","BRITISH CIVIL WARS","DRAW",NA,"PARLIAMENTARIANS","ROYALISTS",2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P386",NA,NA
"Edinburgh1314","UNITED KINGDOM",55.953252,-3.188267,"326","EDINBURGH","1314","['Scotland', 'England']","RISE OF ROBERT THE BRUCE","SCOTLAND","ENGLAND",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Edington878","UNITED KINGDOM",51.2768736,-2.1063915,"327","EDINGTON","878","['Britain', 'Danish', 'Danish', 'England']","VIKING WARS IN BRITAIN","WESSEX","VIKINGS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Eger1552","HUNGARY",47.9025348,20.3772284,"327","EGER","1552","['Turkish', 'Turkish', 'Temesvar', 'Hungary', 'Ottomans']","TURKISH-HABSBURG WARS","HABSBURG EMPIRE","TURKEY",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ekaterinburg1918","RUSSIA",56.8389261,60.6057025,"327","EKATERINBURG","1918","['Chelyabinsk', 'Czech']","RUSSIAN CIVIL WAR","CZECHOSLOVAK LEGION","BOLSHEVIKS",NA,NA,3,"LAND",NA,"NO",NA,NA,NA
"Ekaterinburg1919","RUSSIA",56.8389261,60.6057025,"327","EKATERINBURG","1919","['Russian', 'Sverdlovsk']","RUSSIAN CIVIL WAR","BOLSHEVIKS","WHITE RUSSIANS",NA,NA,3,"LAND",NA,"NO",NA,NA,NA
"Ekaterinodar (1st)1918","RUSSIA",45.0392674,38.9872209,"327","EKATERINODAR (1ST)","1918","['Russian', 'Ekaterinodar', 'Novocherkassk']","RUSSIAN CIVIL WAR","BOLSHEVIKS","WHITE RUSSIANS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ekaterinodar (2nd)1918","RUSSIA",45.0392674,38.9872209,"327","EKATERINODAR (2ND)","1918","['Russian', 'Torgovaya', 'Ekaterinodar']","RUSSIAN CIVIL WAR","WHITE RUSSIANS","BOLSHEVIKS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"Ekeren1703","BELGIUM",51.2773404,4.4181413,"327","EKEREN","1703","['Spanish', 'French', 'Dutch', 'Antwerp']","WAR OF THE SPANISH SUCCESSION","FRANCE","NETHERLANDS",NA,NA,3,"LAND",NA,"NO",NA,NA,NA
"El Agheila1941","LIBYA",30.2613193,19.1800952,"328","EL AGHEILA","1941","['Northern Africa', 'Italian', 'Libya', 'Bardia', 'Tobruk', 'German', 'British', 'British']","WORLD WAR II","GERMANY","UNITED KINGDOM",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P443",NA,NA
"El Agheila1942","LIBYA",30.2613193,19.1800952,"328","EL AGHEILA","1942","['Libya', 'British', 'Agedabia', 'Tunisia']","WORLD WAR II","UNITED KINGDOM","GERMANY",NA,NA,3,"LAND",NA,"NO","LIDDEL HART, HISTORY OF THE SECOND WORLD WAR, P319-320","1",NA
"El Alamein (1st)1942","EGYPT",30.82247,28.954309,"328","EL ALAMEIN (1ST)","1942","['Gazala', 'British', 'Cairo', 'El', 'Egypt']","WORLD WAR II","UNITED KINGDOM","GERMANY",NA,NA,4,"LAND","ELA","NO","HTTPS://WWW.BRITANNICA.COM/EVENT/BATTLES-OF-EL-ALAMEIN",NA,NA
"El Alamein (2nd)1942","EGYPT",30.82247,28.954309,"328","ALAMEIN (2ND)","1942","['British']","WORLD WAR II","UNITED KINGDOM","GERMANY",NA,NA,4,"LAND","ELA","NO","THE OXFORD COMPANION TO WORLD WAR TWO, DEAR AND FOOT (EDS), 'EL ALAMEIN'",NA,NA
"El Arish1799","EGYPT",31.1175394,33.7696033,"329","EL ARISH","1799","['El Arish', 'French', 'Syria', 'Egypt', 'El Arish', 'Palestine  ', 'Albanian']","FRENCH REVOLUTIONARY WARS (MIDDLE EAST)","FRANCE","OTTOMAN EMPIRE",NA,NA,1,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P508",NA,NA
"El Asnam740","ALGERIA",36.3711007,3.9639183,"329","EL ASNAM","740","['the Maghrib Province', 'Arab', 'North Africa', 'Tangier', 'Zanatai', 'Arab', 'Wadi', 'Chelif', 'Arabs']","BERBER REBELLION","BERBER REBELS","ARABS",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Ayoun1958","MOROCCO",29.6500179,-7.9087548,"329","EL AYOUN","1958","['Moroccan', 'Spanish', 'West Africa', 'ish-French', 'Saharawi', 'Dutch', 'English', 'French', 'Italian', 'Elba', 'France', 'Tuscan', 'French', 'French', 'French']","WESTERN SAHARAN WARS","WESTERN SAHARAN REBELS","SPAIN",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Caney1898","CUBA",22.185954,-79.842697,"330","EL CANEY","1898","['Spanish-American', 'American', 'Spanish', 'San Juan Hill', 'Austrian', 'French']","SPANISH-AMERICAN WAR","SPAIN","UNITED STATES",NA,NA,2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P735",NA,NA
"El Ferrol1936","SPAIN",43.4911091,-8.2368902,"330","EL FERROL","1936","['Spanish', 'Spain', 'Nationalists']","SPANISH CIVIL WAR","SPANISH NATIONALISTS","SPANISH REPUBLICANS",NA,NA,NA,"LAND AND SEA",NA,"NO",NA,NA,NA
"El Guettar1943","TUNISIA",34.3373936,8.9409613,"330","EL GUETTAR","1943","['El Guettar', 'Northern Africa', 'Tunisia', 'Kasserine', 'American', 'Italians', 'El Guettar', 'German', 'German']","WORLD WAR II","UNITED STATES","GERMANY",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P446","1",NA
"El Henni (1st)1911","LIBYA",32.9016985,13.2674063,"941","EL HENNI (1ST)","1911","['Italian', 'Turko', 'Sidi', 'Italian']","ITALO-TURKISH WAR","ITALY","OTTOMAN EMPIRE, ARAB FORCES",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Herri1914","MOROCCO",32.8584465,-5.628444,"330","EL HERRI","1914","['French', 'North Africa', 'French', 'Zaian', 'French', 'Morocco', 'French']","FRENCH COLONIAL WARS IN NORTH AFRICA","ZAIA","FRANCE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Jicaro1906","GUATEMALA",14.9123112,-89.8977328,"331","EL JICARO","1906","['El Salvador', 'Guatemala', 'Salvadoran', 'Tegucicalpa', 'Salvadoran', 'US', 'Elk Creek', 'American', 'Pea Ridge', 'American', 'Little Rock', 'Arkansas', 'Camden', 'Union', 'Missouri', 'Okolona', 'Prairie']","GUATEMALAN CIVIL WAR","GUATEMALA","EL SALVADOR",NA,NA,2,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P372","1",NA
"El Leon1594","FRANCE",48.3995262,-4.5889363,"SHOWALTER, P340","EL LEON","1594",NA,"FRENCH WAR OF RELIGION","ENGLAND, FRANCE","SPAIN",NA,NA,2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P339-40",NA,NA
"El Menabba1908","MOROCCO",27.3051109,1.0441248,"331","EL MENABBA","1908","['French', 'North Africa', 'Moroccan', 'French', 'Moroccans', 'French', 'Anglo', 'Holland', 'British', 'Ghana', 'British', 'Dutch', 'Mouree']","FRENCH COLONIAL WARS IN NORTH AFRICA","MOROCCO","FRANCE",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Moungar1903","ALGERIA",31.2055548,-1.9906992,"331","EL MOUNGAR","1903","['French', 'North Africa', 'Taghit', 'Algerias']","FRENCH COLONIAL WARS IN NORTH AFRICA","DAWI MANI TRIBESMEN, OULAD DJERIR TRIBESMEN","FRANCE",NA,NA,1,"LAND",NA,"NO","HTTPS://WWW.DEFENSE.GOUV.FR/TERRE/ACTU-TERRE/ARCHIVES/HISTORIQUE-DE-LA-BATAILLE-D-EL-MOUNGAR",NA,NA
"El Mughar1917","WEST BANK AND GAZA",31.6209035,34.7622512,"332","EL MUGHAR","1917","['Gaza', 'British', 'Turkish', 'Jerusalem', 'Turks', 'Jaffa', 'Jerusalem']","WORLD WAR I","UNITED KINGDOM","OTTOMAN EMPIRE, GERMANY",NA,NA,NA,"LAND",NA,"NO",NA,NA,NA
"El Naranjo1874","CUBA",21.9181045,-80.1342344,"CLODFELTER, P306","EL NARANJO","1874",NA,"1ST CUBAN WAR OF INDEPENDENCE","CUBAN REBELS","SPAIN",NA,NA,1,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P306",NA,NA
"El Numero1849","DOMINICAN REPUBLIC",18.2198367,-70.2995574,"SHOWALTER, P646","EL NUMERO","1849",NA,"DOMINICAN WAR OF INDEPENDENCE","DOMINICAN REPUBLIC","HAITI",NA,NA,2,"LAND",NA,"NO","ENCYCLOPEDIA OF WARFARE, SHOWALTER, 2014, P646",NA,NA
"El Obeid1883","SUDAN",13.1782149,30.2166519,"332","EL OBEID","1883","['British', 'Egypt', 'Egyptians', 'Dervish', 'Kashgil', 'Anglo', 'Sudan']","BRITISH-SUDAN WARS","MAHDIYYA","UNITED KINGDOM, EGYPT",NA,NA,3,"LAND",NA,"NO","CLODFELTER, WARFARE AND ARMED CONFLICT, P200",NA,NA
