"year","country_gaining","iso3c_gaining","country_losing","iso3c_losing","type","pop","area"
1984,"ARGENTINA","ARG",NA,NA,"CESSION
(PART YIELDED TO OTHER ENTITY)","0","1083.00"
1986,"MARSHALL ISLANDS","MHL","UNITED STATES","USA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","40000","181.00"
1986,"MICRONESIA (FEDERATED STATES OF)","FSM","UNITED STATES","USA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","95000","702.00"
1986,"MALI","MLI","BURKINA FASO","BFA","CESSION
(PART YIELDED TO OTHER ENTITY)","65000","1553.00"
1989,"EGYPT","EGY","ISRAEL","ISR","CESSION
(PART YIELDED TO OTHER ENTITY)","0","1.00"
1990,"NAMIBIA","NAM","SOUTH AFRICA","ZAF","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","1372000","823290.00"
1990,"YEMEN","YEM","YEMEN PEOPLE'S REPUBLIC",NA,"UNIFICATION
(NEW ENTITY FROM 2+ PRE-EXISTING)","2488000","329111.00"
1990,"GERMANY","DEU","GERMAN DEMOCRATIC REPUBLIC",NA,"UNIFICATION
(NEW ENTITY FROM 2+ PRE-EXISTING)","16600000","108333.00"
1991,"GEORGIA","GEO","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","5500000","69700.00"
1991,"CROATIA","HRV","YUGOSLAVIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","4763000","56410.00"
1991,"SLOVENIA","SVN","YUGOSLAVIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","1974000","20256.00"
1991,"MOLDOVA","MDA","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","4350000","33700.00"
1991,"BELARUS","BLR","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","10200000","207600.00"
1991,"AZERBAIJAN","AZE","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","7200000","86600.00"
1991,"KYRGYZSTAN","KGZ","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","4375000","198500.00"
1991,"UZBEKISTAN","UZB","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","20300000","447400.00"
1991,"ESTONIA","EST","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","1581000","45227.00"
1991,"LATVIA","LVA","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","2600000","64610.00"
1991,"LITHUANIA","LTU","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","3754000","65301.00"
1991,"ARMENIA","ARM","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","3450000","28400.00"
1991,"TAJIKISTAN","TJK","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","5250000","143100.00"
1991,"TURKMENISTAN","TKM","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","3600000","488100.00"
1993,"NORTH MACEDONIA","MKD","YUGOSLAVIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","2109000","24856.00"
1991,"UKRAINE","UKR","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","52000000","603700.00"
1991,"KAZAKHSTAN","KAZ","RUSSIA","RUS","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","16700000","2717300.00"
1992,"BOSNIA & HERZEGOVINA","BIH","YUGOSLAVIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","4455000","51107.00"
1992,"EL SALVADOR","SLV",NA,NA,"CESSION
(PART YIELDED TO OTHER ENTITY)","36000","147.00"
1992,"HONDURAS","HND",NA,NA,"CESSION
(PART YIELDED TO OTHER ENTITY)","13000","293.00"
1992,"YEMEN","YEM","OMAN","OMN","CESSION
(PART YIELDED TO OTHER ENTITY)","0","1875.00"
1992,"OMAN","OMN","YEMEN","YEM","CESSION
(PART YIELDED TO OTHER ENTITY)","0","1250.00"
1992,"BANGLADESH","BGD","INDIA","IND","CESSION
(PART YIELDED TO OTHER ENTITY)","20","1.00"
1993,"CZECHIA","CZE","CZECHOSLOVAKIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","10300000","79228.00"
1993,"SLOVAKIA","SVK","CZECHOSLOVAKIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","5200000","48666.00"
1993,"ERITREA","ERI","ETHIOPIA","ETH","SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","3000000","124993.00"
1993,"KUWAIT","KWT","IRAQ","IRQ","CESSION
(PART YIELDED TO OTHER ENTITY)","0","."
1994,"NAMIBIA","NAM","SOUTH AFRICA","ZAF","CESSION
(PART YIELDED TO OTHER ENTITY)","30000","1124.00"
1994,"PALAU","PLW","UNITED STATES","USA","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","15600","487.00"
1995,"JORDAN","JOR","ISRAEL","ISR","CESSION
(PART YIELDED TO OTHER ENTITY)","0","340.00"
1996,"CHINA","CHN","RUSSIA","RUS","CESSION
(PART YIELDED TO OTHER ENTITY)","0","18.00"
1997,"CZECHIA","CZE","SLOVAKIA","SVK","CESSION
(PART YIELDED TO OTHER ENTITY)","31","4.52"
1997,"SLOVAKIA","SVK","CZECHIA","CZE","CESSION
(PART YIELDED TO OTHER ENTITY)","120","4.52"
1997,"CHINA","CHN","UNITED KINGDOM","GBR","CESSION
(PART YIELDED TO OTHER ENTITY)","6700000","1084.00"
1998,"CHINA","CHN","KAZAKHSTAN","KAZ","CESSION
(PART YIELDED TO OTHER ENTITY)",".","470.00"
1998,"UKRAINE","UKR","MOLDOVA","MDA","CESSION
(PART YIELDED TO OTHER ENTITY)","0","1.00"
1998,"MOLDOVA","MDA","UKRAINE","UKR","CESSION
(PART YIELDED TO OTHER ENTITY)","0","1.00"
1999,"RUSSIA","RUS","ESTONIA","EST","CESSION
(PART YIELDED TO OTHER ENTITY)","0","30.00"
1999,"ESTONIA","EST","RUSSIA","RUS","CESSION
(PART YIELDED TO OTHER ENTITY)","0","30.00"
1999,NA,NA,"INDONESIA","IDN","CESSION
(PART YIELDED TO OTHER ENTITY)","780000","14926.00"
1999,"CHINA","CHN","PORTUGAL","PRT","CESSION
(PART YIELDED TO OTHER ENTITY)","447000","21.45"
1991,"BOTSWANA","BWA",NA,NA,"CONQUEST
(ARMED FORCE)","0","5.00"
2000,"EGYPT","EGY","SUDAN","SDN","CONQUEST
(ARMED FORCE)","5000","20580.00"
2002,"TIMOR-LESTE","TLS",NA,NA,"UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","950000","14926.00"
2003,"NIGERIA","NGA","CAMEROON","CMR","CESSION
(PART YIELDED TO OTHER ENTITY)",".","."
2003,"CAMEROON","CMR","NIGERIA","NGA","CESSION
(PART YIELDED TO OTHER ENTITY)",".","."
2004,"YEMEN","YEM","SAUDI ARABIA","SAU","CESSION
(PART YIELDED TO OTHER ENTITY)",".","40000.00"
2006,"MONTENEGRO","MNE","YUGOSLAVIA",NA,"SECESSION
(ESTABLISH NEW INDEP. ENTITIES)","650000","13812.00"
2008,"CAMEROON","CMR","NIGERIA","NGA","CESSION
(PART YIELDED TO OTHER ENTITY)","300000","665.00"
2008,"CHINA","CHN","RUSSIA","RUS","CESSION
(PART YIELDED TO OTHER ENTITY)","0","174.00"
2011,"CHINA","CHN","TAJIKISTAN","TJK","CESSION
(PART YIELDED TO OTHER ENTITY)",".","1142.00"
2011,"SOUTH SUDAN","SSD","SUDAN","SDN","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","8260000","619745"
2014,"RUSSIA","RUS","UKRAINE","UKR","CONQUEST
(ARMED FORCE)","2400000","27000.00"
2008,"KOSOVO",NA,"YUGOSLAVIA",NA,"UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","1747383","10887.00"
2015,"INDIA","IND","BANGLADESH","BGD","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","51000","69.44"
2015,"BANGLADESH","BGD","INDIA","IND","UNKNOWN PROCESS
(OFTEN INDEPENDENCES)","51000","28.77"
1954,"INDIA","IND","PORTUGAL","PRT","ANNEXATION
(UNILATERAL)","57963","491.00"
1999,"BOTSWANA","BWA","NAMIBIA","NAM","CESSION
(PART YIELDED TO OTHER ENTITY)","0","5.00"
